,"ru","en","de","pl"
"BordersRangesTypeFieldset::Percent","Проценты","Percentage",,
"BordersRangesTypeFieldset::RangeType","Тип шкалы","Type of scale",,
"BorderStyleBox::ScaleLimitsSignature","Подпись пределов шкалы","A caption for the scale limits",,
"BreakdownFieldset::Breakdown","Разбивка","Breakdown",,
"BreakdownFormat::Breakdown","Разбивка","Breakdown",,
"Chart::CountTotals","Итого: {countTotals}","Total: {countTotals}",,
"ChartDataSetSettings::ShowEmptyData","Показывать незаполненные данные","Show unfilled data",,
"ChartDataSetSettings::ShowZeroValues","Показывать нулевые значения","Show null values",,
"ColorPicker::Apply","Применить","Apply",,
"ColorPicker::Cancel","Отмена","Cancel",,
"ColorsBox::Automatically","Автоматически","Automatically",,
"ColorsBox::ClearButton","Сбросить палитру","Reset palette",,
"ColorsBox::ClearButtonTooltip","При нажатии цвета виджета сбросятся к текущей дефолтной палитре","When you click the widget colors will be reset to the current default palette",,
"ColorsBox::ColorsOfChart","Цвета диаграммы","Chart colors",,
"ColorsBox::Manually","Вручную","Manually",,
"ComboChartParamsTab::GraphType","Тип графика","Graph type",,
"ComboChartStyleTab::Parameter","Параметр","Parameter",,
"ComparePeriodBox::AtCustomRange","{""func"": ""customRange""}","{""func"": ""customRange""}","{""func"": ""customRange""}","{""func"": ""customRange""}"
"ComparePeriodBox::AtPreviousDay","за предыдущий день","for the previous day",,
"ComparePeriodBox::AtPreviousMonth","за предыдущий месяц","for the previous month",,
"ComparePeriodBox::AtPreviousWeek","за предыдущую неделю","for the previous week",,
"ComparePeriodBox::AtPreviousYear","за предыдущий год","for the previous year",,
"ComparePeriodBox::CompareWithPeriod","Сравнение с периодом","Comparison with the period",,
"ComparePeriodBox::CustomRange","Произвольный диапазон","CustomRange",,
"ComparePeriodBox::EndPeriod","Конец периода","The end period",,
"ComparePeriodBox::PreviousDay","Предыдущий день","The previous day",,
"ComparePeriodBox::PreviousMonth","Предыдущий месяц","Previous month",,
"ComparePeriodBox::PreviousWeek","Предыдущая неделя","Previous week",,
"ComparePeriodBox::PreviousYear","Предыдущий год","Previous year",,
"ComparePeriodBox::StartPeriod","Начало периода","The start period",,
"ComparePeriodStyle::CompareWithPeriod","Сравнение с периодом","Comparison with the period",,
"ComparePeriodStyle::NumberSymbolsAfterComma","Количество знаков после запятой","A number of symbols after comma",,
"ComputedAttributeEditor::EditField","Редактировать поле","Edit field",,
"CustomColorsSettings::ApplyForAllWidgets","Применить для всех виджетов на дашборде","Apply to all widgets on the dashboard",,
"CustomGroup::ChangeConfirmation","Изменения применятся к этой группировке во всех виджетах.","The changes will apply to this group in all widgets.",,
"CustomGroup::ConfigurationGroup","Настройка пользовательской группировки","Custom group setup",,
"CustomGroup::DeleteConfirmation","Группировка будет удалена без возможности восстановления.","The group will be deleted without possibility of recovery.",,
"CustomGroup::MaxCount","Количество созданных на дашборде пользовательских группировок достигло максимума ({count} шт)","The number of custom group created on the Dashboard has reached a maximum ({count} pcs)",,
"CustomGroup::UsedInWidgets","Группировка используется в виджетах: {usedInWidgets}","The grouping is used in widgets: {usedInWidgets}",,
"CustomGroupSelect::AddGroup","Добавить группировку","Add a group",,
"CustomGroupSelect::DeleteGroup","Удалить","Delete",,
"CustomGroupSelect::GroupName","Название группировки","Group name",,
"CustomGroupSelect::NameForSave","Название для сохранения группировки","Name to save the group",,
"CustomLabelColorsSettings::Add","Добавить","Add",,
"CustomLabelColorsSettings::AllParameters","Все параметры","All options",,
"DashboardHeader::CollapseTopPanel","Свернуть верхнюю панель","Collapse the top panel",,
"DashboardHeader::Common","Общий","Shared",,
"DashboardHeader::Delete","Удалить","Delete",,
"DashboardHeader::DeleteConfirmation","Подтверждение удаления","Confirm deletion",,
"DashboardHeader::DeleteYourPersonalDashboard","Вы действительно хотите удалить персональный дашборд?","Are you sure you want to delete your personal dashboard?",,
"DashboardHeader::Download","Скачать","Download",,
"DashboardHeader::Edit","Редактировать","Edit",,
"DashboardHeader::ExpandTopPanel","Развернуть верхнюю панель","Expand the top panel",,
"DashboardHeader::MobileSwitch","Переключиться в мобильное представление","Switch to mobile view",,
"DashboardHeader::No","Нет","No",,
"DashboardHeader::Personal","Личный","Personal",,
"DashboardHeader::RefreshWidgets","Обновить виджеты","Update widgets",,
"DashboardHeader::SaveYourself","Сохранить себе","Keep it",,
"DashboardHeader::View","Просмотреть","Browse",,
"DashboardHeader::WebSwitch","Переключиться в WEB представление","Switch to the WEB view",,
"DashboardHeader::Yes","Да","Yes",,
"DashboardPanel::Back","Назад","Back",,
"DashboardPanel::ConfirmCancelWidgetCreateText","Все заполненные данные не сохранятся. Вы уверены?","All completed data will not be saved. Are you sure?",,
"DashboardPanel::ConfirmCancelWidgetCreateTitle","Внимание","Attention",,
"DashboardPanel::ConfirmCancelWidgetCreateYes","Да","Ok",,
"DashboardPanel::Dashboards","Дашборды","Dashboards",,
"DashboardPanel::LoadingContent","Загрузка...","Loading…",,
"DashboardPanel::NewWidget","Новый виджет","New widget",,
"DataLabelsBox::DataLabels","Метки данных","Data Labels",,
"DataLabelsBox::DataLabelsDisabled","Метки данных отключены из-за большого количества данных","Data tags are disabled because of the large amount of data",,
"DataLabelsBox::Shadow","Тень","Shadow",,
"DataTopField::ShowTop","Вывести топ","Output the top",,
"DateGroupModal::Between","с ...по","Between",,
"DateGroupModal::DateTimeDay::7D","ДД ММ - ДД ММ (2 января - 8 января)","DD MM - DD MM (2 January - 8 January)",,
"DateGroupModal::DateTimeDay::dd","День месяца (1-й)","Day of the month (1st)",,
"DateGroupModal::DateTimeDay::ddMM","ДД ММ (1 января)","DD MM (January 1)",,
"DateGroupModal::DateTimeDay::ddmmYY","ДД.MM.ГГГГ (01.01.2020)","DD.MM.YYYY (01.01.2020)",,
"DateGroupModal::DateTimeDay::ddmmYYhh","ДД.ММ.ГГГГ чч (01.01.2020, 11ч)","DD.MM.YYYY hh (01.01.2020, 11h)",,
"DateGroupModal::DateTimeDay::ddmmYYhhii","ДД.ММ.ГГГГ чч:мм (01.01.2020 11:11)","DD.MM.YYYY hh:mi (01.01.2020 11:11)",,
"DateGroupModal::DateTimeDay::hh","чч (11)","hh (11)",,
"DateGroupModal::DateTimeDay::hhii","чч:мм (11:11)","hh:mi (11:11)",,
"DateGroupModal::DateTimeDay::ii","мм (15 мин)","mi (15 min)",,
"DateGroupModal::DateTimeDay::MM","ММ (январь)","MM (January)",,
"DateGroupModal::DateTimeDay::MMYY","ММ ГГГГ (январь 2020)","MM YYYY (January 2020)",,
"DateGroupModal::DateTimeDay::QQ","Квартал (1 кв-л)","Quarter (Q1)",,
"DateGroupModal::DateTimeDay::QQYY","Квартал и год (1 кв-л 2020)","Quarter and Year (Q1 2020)",,
"DateGroupModal::DateTimeDay::WD","День недели (понедельник)","Day of the week (Monday)",,
"DateGroupModal::DateTimeDay::WW","№ недели (1-я)","No. of the week (1st)",,
"DateGroupModal::DateTimeDay::WWYY","Неделя и год (1 неделя 2020)","Week and Year (1 week 2020)",,
"DateGroupModal::DateTimeDay::YYYY","ГГГГ (2020)","YYYY (2020)",,
"DateGroupModal::Day","День","Days",,
"DateGroupModal::Empty","пусто","empty",,
"DateGroupModal::Hours","Часы","Hours",,
"DateGroupModal::Last","за последние ""n"" дней","last of ""n"" days",,
"DateGroupModal::LastHours","за последние ""n"" часов","last of ""n"" hours",,
"DateGroupModal::Minutes","Минуты","Minutes",,
"DateGroupModal::Month","Месяц","Month",,
"DateGroupModal::Near","в ближайшие ""n"" дней","in the next ""n"" days",,
"DateGroupModal::NearHours","в ближайшие ""n"" часов","in the next ""n"" hours",,
"DateGroupModal::NotEmpty","не пусто","not empty",,
"DateGroupModal::Quarter","Квартал","Quarter",,
"DateGroupModal::SevenDays","7 дней","7 days",,
"DateGroupModal::Today","сегодня","today",,
"DateGroupModal::Week","Неделя","Week",,
"DateGroupModal::Year","Год","Year",,
"Datepicker::Fri","пт","fri",,
"Datepicker::Mon","пн","mon",,
"Datepicker::Sat","сб","sat",,
"Datepicker::Sun","вс","sun",,
"Datepicker::Thu","чт","thu",,
"Datepicker::Tue","вт","tue",,
"Datepicker::Wed","ср","wed",,
"DiagramWidgetForm::NewWidget","Новый виджет","New widget",,
"DiagramWidgetForm::Options","Опции","Options",,
"DiagramWidgetForm::Parameters","Параметры","Parameters",,
"DiagramWidgetForm::Scheme::CheckAttributeGroup","Группировка данного атрибута не применима к другим полям","The group of this attribute is not applicable to other fields",,
"DiagramWidgetForm::Scheme::CheckSourcesNumber","Для данного типа диаграммы источник может быть один, дополнительные можно использовать для вычисления","For this type of diagram there can be one source, additional ones can be used to calculate",,
"DiagramWidgetForm::Scheme::CheckSourceValue","Укажите источник данных","Specify the source",,
"DiagramWidgetForm::Scheme::CheckSourceWidgetFilterAttributes","Укажите атрибут для фильтрации на виджете","Specify an attribute to filter on the widget",,
"DiagramWidgetForm::Scheme::CheckSourceWidgetFilterLabel","Укажите название фильтра","Specify the name of the filter",,
"DiagramWidgetForm::Scheme::EmptyBreakdown","Укажите атрибут для разбивки","Specify the attribute for the breakdown",,
"DiagramWidgetForm::Scheme::EmptyDiagramName","Укажите название диаграммы","Specify the chart name",,
"DiagramWidgetForm::Scheme::EmptyIndicator","Укажите атрибут для показателя","Specify the attribute for the indicator",,
"DiagramWidgetForm::Scheme::EmptyName","Укажите название виджета","Specify the name of the widget",,
"DiagramWidgetForm::Scheme::EmptyParameter","Укажите атрибут для параметра","Specify the attribute for the parameter",,
"DiagramWidgetForm::Scheme::EmptySource","Укажите источник данных","Specify the source",,
"DiagramWidgetForm::Scheme::Error","Ошибка заполнения","Filling error",,
"DiagramWidgetForm::Scheme::MinSourceNumbers","Должен быть выбран как минимум один источник для построения","At least one source must be selected",,
"DiagramWidgetForm::Scheme::SingleSourceForCompute","Для данного типа диаграммы источник может быть один, дополнительные можно использовать для вычисления","For this type of diagram there can be one source, additional ones can be used for calculations.",,
"DiagramWidgetForm::Scheme::TopSettings::Required","Укажите значение для ТОП показателя","Specify the value for the top",,
"DiagramWidgetForm::Scheme::TopSettings::TypeError","Значение ТОП должно быть числом","Value of TOP must be a number",,
"DiagramWidgetForm::Scheme::UniqWidget","Виджет с названием ""{name}"" не может быть сохранен. Название виджета должно быть уникально в рамках дашборда","A widget named ""{name}"" cannot be saved. The widget name should be unique within the dashboard",,
"DiagramWidgetForm::Style","Стиль","Style",,
"DisplayModeSelectBox::DisplayInMobile","Отображение виджета в мобильной версии","Display widget in the mobile version",,
"DisplayModeSelectBox::DisplayMode","Область отображения","Display area",,
"drillDownBySelection::Fail","Для данного виджета детализация данных не доступна","Details are not available for this widget",,
"export::Dashboard","Дашборд","Dashboard",,
"ExportByEmailButton::SendToEmail","Отправить на почту","Send to mail",,
"ExportByEmailForm::FormFooter::Reset","Сбросить","Reset",,
"ExportByEmailForm::FormFooter::Send","Отправить","Send",,
"ExportByEmailForm::FormHeader::AddRecipient","Добавить получателя","Add Recipient",,
"ExportByEmailForm::UserField::DeleteRecipient","Удалить получателя","Delete Recipient",,
"FiltersOnWidget::FilterItem::Attribute","Атрибут","Attribute",,
"FiltersOnWidget::FilterItem::AttributePlaceholder","Укажите атрибут","Select the attribute",,
"FiltersOnWidget::FilterItem::Source","Источник","Source",,
"FiltersOnWidget::FilterItem::SourcePlaceholder","Выберите источник","Select the source",,
"FiltersOnWidget::FilterOnWidget","Фильтрация на виджете","Filtering on the widget",,
"FiltersOnWidget::Scheme::Attribute","Необходимо выбрать атрибут","It is necessary to select the attribute",,
"FiltersOnWidget::Scheme::Name","Укажите название фильтра","Specify the name of the filter",,
"FiltersOnWidget::Scheme::Source","Необходимо указать источник","Need to specify the source",,
"FontStyleControl::Bold","Жирный","Bold",,
"FontStyleControl::Italic","Курсив","Italic",,
"FontStyleControl::Underline","Подчеркнутый","Underline",,
"Formatter::Billion","млрд.","B",,
"Formatter::Million","млн.","M",,
"Formatter::Thousand","тыс.","K",,
"Formatter::Trillion","трлн.","T",,
"GroupModal::Active","Активен","Active",,
"GroupModal::Contains","Содержит","Contains",,
"GroupModal::ContainsAny","Содержит любое из значений","Contains any",,
"GroupModal::ContainsAttrCurrentObject","Содержит атрибут текущего объекта","Contains attribute of current object",,
"GroupModal::ContainsCurrentObject","Содержит текущий объект","Contains current object",,
"GroupModal::ContainsIncludingArchival","Содержит (включая архивные)","Contains (including archived)",,
"GroupModal::ContainsIncludingNested","Содержит (включая вложенные)","Contains (including nested)",,
"GroupModal::CustomGroup","Пользовательская","Custom",,
"GroupModal::Empty","пусто","empty",,
"GroupModal::Equal","равно","equal",,
"GroupModal::EqualAttrCurrentObject","Равно атрибуту текущего объекта","Equal attribute of current object",,
"GroupModal::EqualCurrentObject","Равно текущему объекту","Equal current object",,
"GroupModal::Exceed","Просрочен","Exceed",,
"GroupModal::ExpirationContains","Просроченность содержит","Expiration contains",,
"GroupModal::ExpiresBetween","Время окончания с .. по","Expires between",,
"GroupModal::FieldName","Название поля","Name of field",,
"GroupModal::Greater","больше","more that",,
"GroupModal::GroupConfig","Настройка группировки","Group Setup",,
"GroupModal::GroupType","Тип группировки","Type of group",,
"GroupModal::Less","менее","less that",,
"GroupModal::NotContains","Не содержит","Not contains",,
"GroupModal::NotContainsIncludingArchival","Не содержит (включая архивные)","Not contains (including archived)",,
"GroupModal::NotContainsIncludingEmpty","Не содержит (включая пустые)","Not contains (including empty)",,
"GroupModal::NotEmpty","не пусто","not empty",,
"GroupModal::NotEqual","не равно (и не пусто)","not equal (and not empty)",,
"GroupModal::NotEqualNotEmpty","не равно (включая пустые)","not equal (included empty)",,
"GroupModal::NotExceed","Не просрочен","Not exceed",,
"GroupModal::NotStarted","Ожидает начала","Not started",,
"GroupModal::Paused","Приостановлен","Paused",,
"GroupModal::scheme::DateRangeField","Поля должны содержать даты, первая дата должна быть не больше второй","The field must contain dates, the first date must not be greater than the second date",,
"GroupModal::scheme::EnterValue","Введите значение","Enter a value",,
"GroupModal::scheme::FloatField","Поле должно содержать вещественное число","Field must contain a real number",,
"GroupModal::scheme::IntField","Поле должно содержать целое число","Field must contain an integer",,
"GroupModal::scheme::NotEmpty","Поле должно быть заполнено","The field must be filled in.",,
"GroupModal::StatusContains","Статус содержит","Status contains",,
"GroupModal::StatusNotContains","Статус не содержит","Status not contains",,
"GroupModal::Stopped","Остановлен","Stopped",,
"GroupModal::SystemGroup","Системная","System",,
"GroupModal::TimeOver","Кончился запас времени","Time over",,
"GroupModal::TitleContains","Название содержит","Title contains",,
"GroupModal::TitleNotContains","Название не содержит","Title not contains",,
"HeaderBox::PositionBottom","Отображать снизу","Display below",,
"HeaderBox::PositionTop","Отображать сверху","Display on top",,
"HeaderBox::Title","Заголовок","Title",,
"IndicatorFieldset::Aggregation","Агрегация","Aggregate",,
"IndicatorFieldset::CreateField","Создать поле","Create a field",,
"IndicatorFieldset::MathFormula","Математическая формула","Mathematical formula",,
"IndicatorFieldset::SourcePercentageRelative","Рассчитать % объектов с заданными параметрами относительно источника","Calculate % of objects with given parameters relative to source",,
"IndicatorFieldset::SourcePercentageRelativeField","% объектов","% of objects",,
"IndicatorsBox::Indicator","Показатель","Indicator",,
"IndicatorSettingsBox::ConfigureAxis","Настроить параметры оси","Adjust axis parameters",,
"IndicatorSettingsBox::Indicator","Показатель","Indicator",,
"IndicatorSettingsBox::ShowAxis","Показать ось","Show axis",,
"IndicatorSettingsBox::ShowDependent","Показывать зависимо","Show Dependence",,
"IndicatorSettingsBox::ShowName","Выводить название","Display name",,
"InfoPanel::Attention","Внимание!","Warning!",,
"InfoPanel::onConfirm","Подтвердить","Confirm",,
"IntervalGroupModal::Day","Дни","Days",,
"IntervalGroupModal::Hour","Часы","Hours",,
"IntervalGroupModal::Minute","Минуты","Minutes",,
"IntervalGroupModal::Second","Секунды","Seconds",,
"IntervalGroupModal::Week","Недели","Weeks",,
"IntervalOrCondition::Days","Дней","Days",,
"IntervalOrCondition::Hours","Часов","Hours",,
"IntervalOrCondition::Minutes","Минут","Minutes",,
"IntervalOrCondition::Seconds","Секунд","Seconds",,
"IntervalOrCondition::Weeks","Недель","Weeks",,
"Kebab::Menu","Меню","Menu",,
"LabelParameterFormat::Code","Код","Code",,
"LabelParameterFormat::FieldLabel"," {label} (формат)"," {label} (format)",,
"LabelParameterFormat::Title","Название","Name",,
"LabelParameterFormat::TitleCode","Название (код)","Title (code)",,
"LegendBox::Column","Вывести в столбец","Draw in column",,
"LegendBox::PositionBottom","Внизу","Bottom",,
"LegendBox::PositionLeft","Слева","Left",,
"LegendBox::PositionRight","Справа","Right",,
"LegendBox::PositionTop","Вверху","Top",,
"LegendBox::Row","Вывести в строку","Draw in row",,
"LegendBox::Title","Легенда","Legend",,
"LoadingContent::Empty","Данные отсутствуют","No data available","Keine Daten","Brak danych"
"LoadingContent::Loading","Загрузка...","Loading...","Wird geladen...","Ładowanie..."
"MainSelectList::DynamicAttributes","Динамические атрибуты","Dynamic attributes",,
"MainSelectList::DynamicAttributesError","Для отображения списка, установите, пожалуйста, параметры фильтрации","To display the list, please set the filter options",,
"MiniSelect::NoSelect","[Не выбрано]","[Unselected]",,
"Modal::Cancel","Отмена","Cancel",,
"Modal::Save","Сохранить","Save",,
"MultiDropDownList::EmptyMessage","Нет совпадений.","No match.",,
"MultiValueContainer::AndMore","И еще {left}","And more {left}",,
"MultiValueContainer::Clear","Очистить","Clear",,
"MultiValueContainer::ShowAll","Показать все","Show All",,
"NavigationBox::SelectPlaceholder","Укажите дашборд или виджет","Specify a dashboard or widget",,
"NavigationBox::ShowTip","Отображать всплывающую подсказку","Display a tooltip",,
"NavigationBox::Title","Навигация с виджета","Navigation from a widget",,
"NumberParameterFormat::Additional","Дополнительные обозначения","Additional symbols",,
"NumberParameterFormat::AdditionalOptions","{""func"": ""numberAdditional""}","{""func"": ""numberAdditional""}","{""func"": ""numberAdditional""}","{""func"": ""numberAdditional""}"
"NumberParameterFormat::AdditionalOptionsUndefined","Не указано","Not specified",,
"NumberParameterFormat::NumberFormat","Формат числа","Number format",,
"NumberParameterFormat::SplitDigits","Разделить разряды","Separate digits",,
"NumberParameterFormat::SymbolsAfterComma","Количество знаков после запятой","Number of decimal places",,
"OrConditionControl::OR","ИЛИ","OR",,
"ParametersDataBox::Parameter","Параметр (группировка)","Parameters (grouping)",,
"PivotWidget::HideChildren","Скрыть","Hide",,
"PivotWidget::ShowChildren","Показать","Show",,
"PivotWidget::Sum","Сумма","Sum",,
"PivotWidget::Total","Итого","Total",,
"PivotWidgetForm::GroupingBox::Delete","Удаление","Delete",,
"PivotWidgetForm::GroupingBox::Group","Группа","Group",,
"PivotWidgetForm::GroupingBox::Name","Название","Name",,
"PivotWidgetForm::GroupingBox::Sum","Суммирование","Summation",,
"PivotWidgetForm::GroupingIndicators","Группировка показателей","Grouping indicators",,
"PivotWidgetForm::Indicators","Показатели","Indicators",,
"PivotWidgetForm::IndicatorsGroupBox::Breakdown","Разбивка","Breakdown",,
"PivotWidgetForm::IndicatorsGroupBox::Cancel","Отмена","Cancel",,
"PivotWidgetForm::IndicatorsGroupBox::CreateGroup","Создать группу","Create group",,
"PivotWidgetForm::IndicatorsGroupBox::Indicator","Показатель","Indicator",,
"PivotWidgetForm::IndicatorsGroupBox::IndicatorGrouping","Группировка показателей","Indicator grouping",,
"PivotWidgetForm::IndicatorsGroupBox::NewGroup","Новая группа","New group",,
"PivotWidgetForm::IndicatorsGroupBox::Save","Сохранить","Save",,
"PivotWidgetForm::ParameterRowColor","Заливка строки параметра","Parameter row color",,
"PivotWidgetForm::PivotStyleBox","Сводная таблица","Pivot",,
"PivotWidgetForm::SourceLinkAttributeEmpty","Не выбрано","Not selected",,
"PivotWidgetForm::SourceLinkEditor::Cancel","Отменить","Cancel",,
"PivotWidgetForm::SourceLinkEditor::LinkAttribute","Атрибут связи","Link attribute",,
"PivotWidgetForm::SourceLinkEditor::Save","Сохранить","Save",,
"PivotWidgetForm::SourceLinkEditor::SelectSources","Выберите источники для слияния","Select sources to merge",,
"PivotWidgetForm::SourceLinkEditor::Source1","Источник 1","Source 1",,
"PivotWidgetForm::SourceLinkEditor::Source2","Источник 2","Source 2",,
"PivotWidgetForm::SourceLinksBox","Слияние источников","Source link",,
"recharts::formatMSInterval::Days"," {value} д"," {value} days",,
"recharts::formatMSInterval::Hours"," {value} ч"," {value} h",,
"recharts::formatMSInterval::HoursFraction"," {hours} ч {seconds} с"," {hours} h {seconds} s",,
"recharts::formatMSInterval::Minutes"," {value} мин"," {value} min",,
"recharts::formatMSInterval::MinutesFraction"," {minutes} мин {seconds} с"," {minutes} min {seconds} sec",,
"recharts::formatMSInterval::Seconds"," {value} c"," {value} sec",,
"recharts::formatMSInterval::SecondsFraction"," {seconds} с"," {seconds} sec",,
"recharts::formatMSInterval::Weeks"," {value} нед"," {value} weeks",,
"SavedFilters::HeaderMessage","Выберите сохраненный фильтр","Select a saved filter",,
"SavedFilters::NotFoundMessage","Нет совпадений","No match",,
"SavedFilters::Placeholder","Не выбрано","Not selected",,
"SavedFilters::Title","Сохраненные фильтры","Saved Filters",,
"SearchInput::Placeholder","Поиск","Search",,
"Select::List::ShowMore","Показать еще","Show More",,
"Select::LoadingMessage","Загрузка...","Loading...",,
"Select::NoOptionsMessage","Список пуст","No options",,
"Select::NotFoundMessage","Ничего не найдено","Not found",,
"SelectModal::Cancel","Отмена","Cancel",,
"SelectModal::CreateField","Выбор типа поля","Attribute type selection",,
"SelectWithCustomEdit::UserOption","Пользовательская настройка","Customizing",,
"ShowTotalAmountBox::ShowSubTotalAmount","Отображать промежуточные итоги","Display subtotals",,
"ShowTotalAmountBox::ShowTotalAmount","Отображать общую сумму объектов","Display totals",,
"SortingBox::SortingAsc","По возрастанию","By ascending",,
"SortingBox::SortingByDefault","По умолчанию","By default",,
"SortingBox::SortingByIndicator","Показатель","Indicator",,
"SortingBox::SortingByParameter","Параметр","Parameter",,
"SortingBox::SortingDesc","По убыванию","By descending",,
"SortingBox::Title","Сортировка","Sorting",,
"SourceBox::Title","Источник","Source",,
"SourceControl::Aggregation","Агрегация","Aggregation",,
"SourceControlTree::AddConstants","Добавить константу","Add constant",,
"SourceControlTree::Contains","Содержащее: ","Contains:",,
"SourceControlTree::Find","Найдено {countFoundAttributes} из {countAttributes}","Found {countFoundAttributes} from {countAttributes}",,
"SourceFieldset::ChangeFilterDuplicate","Фильтр с названием {name} не может быть сохранен. Название фильтра должно быть уникально","A filter with name {name} cannot be saved. The filter name must be unique",,
"SourceFieldset::ComputeCheckbox","Только для вычислений","For calculations only",,
"SourceFieldset::ConfirmFilterMessage","Выбранный фильтр не может быть применен полностью, т.к. содержит условия, связанные с текущим объектом. Применить частично?","The selected filter cannot be fully applied because it contains conditions related to the current object. Apply partially?",,
"SourceFieldset::ConfirmFilterTitle","Ошибка применения фильтра","Error applying the filter",,
"SourceFieldset::DeleteSavedFilterError","Удаление данного сохраненного фильтра невозможно, т.к. он применен в других виджетах","It is impossible to delete this saved filter because it has been applied to other widgets",,
"SourceFieldset::RemoveButton","удалить","delete",,
"SourceFieldset::SaveButton","Добавить к сохранённым фильтрам","Add to saved filters",,
"SourceFieldset::SourceRowNameCheckbox","Не использовать параметр","Do’t use the parameter",,
"SourceFieldset::SourceSelectLabel","Выберите значение","Select a value.",,
"SourcesAndFieldsExtended::IndicatorSelection","Выбор показателя","Indicator selection",,
"SourcesAndFieldsExtended::Parameter","Параметр","Parameter",,
"SourcesAndFieldsExtended::ParameterSelection","Выбор параметра","Parameter selection",,
"SourcesAndFieldsExtended::SourceParameter","Источник для параметра","Source for parameter",,
"SpeedometerWidgetForm::MinMaxMessage","Значение в поле min не может превышать значение в поле max","The value in the min field must not exceed the value in the max field",,
"SpeedometerWidgetForm::RequiredAttributeMessage","В поле границы шкал необходимо указать атрибут","In the scale boundary field you must specify the attribute",,
"SpeedometerWidgetForm::RequiredMessage","В поле границы шкал необходимо указать либо число либо атрибут","In the scale boundaries field specify either a number or an attribute",,
"SpeedometerWidgetForm::ValueRequiredMessage","В поле границы шкал необходимо указать число","You must specify a number in the scale boundary field",,
"Startup::Loading","Загрузка...","Loading...","Wird geladen...","Ładowanie..."
"store::buildData::DefaultRecordBuildDataError","По указанным данным невозможно построить таблицу (недостаточно данных). Измените, пожалуйста, параметры.","It is impossible to make a table from the specified data (not enough data). Please change the parameters.","Es ist unmöglich, aus den angegebenen Daten eine Tabelle zu zeichnen (unzureichende Daten). Bitte ändern Sie die Parameter.","Nie można utworzyć tabeli z podanych danych (za mało danych). Proszę zmienić parametry."
"store::buildData::DefaultRecordBuildDiagramError","По указанным данным невозможно нарисовать диаграмму (недостаточно данных). Измените, пожалуйста, параметры.","It is impossible to make a diagram from the specified data (not enough data). Please change the parameters.","Es ist unmöglich, aus den angegebenen Daten ein Diagramm zu zeichnen (unzureichende Daten). Bitte ändern Sie die Parameter.","Nie można utworzyć diagramu z podanych danych (za mało danych). Proszę zmienić parametry."
"store::commonDialogs::AlertSubmitText","Ok","Ok",,
"store::commonDialogs::CancelText","Отмена","Cancel",,
"store::commonDialogs::SubmitText","Подтвердить","Confirm",,
"store::customGroups::FailCreate","Ошибка создания группировки","Group creation error",,
"store::customGroups::FailDelete","Ошибка удаления группировки","Error deleting group",,
"store::customGroups::FailSave","Ошибка сохранения группировки","Error saving group",,
"store::dashboard::settings::DeleteError","Ошибка удаления","Delete error",,
